renderer,slot,material,path,shader,baseTexture,baseColor,color,isWhiteNoTexture,isTextureAssigned
"Blender Indoor Scene/Group-371593-263/Obj3d66-371593-2-816",0,"Mat3d66-371593-12-724_24402_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-371593-12-724_24402_lilToon.mat","Universal Render Pipeline/Lit","","0.408 0.306 0.184 1.000","0.408 0.306 0.184 1.000",False,False
"Blender Indoor Scene/Group-371593-263/Obj3d66-371593-3-147",0,"Mat3d66-371593-12-724_24402_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-371593-12-724_24402_lilToon.mat","Universal Render Pipeline/Lit","","0.408 0.306 0.184 1.000","0.408 0.306 0.184 1.000",False,False
"Blender Indoor Scene/Group-371593-263/Obj3d66-371593-4-796",0,"Mat3d66-371593-12-724_24402_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-371593-12-724_24402_lilToon.mat","Universal Render Pipeline/Lit","","0.408 0.306 0.184 1.000","0.408 0.306 0.184 1.000",False,False
"Blender Indoor Scene/Group-586052-229/Obj3d66-586052-54-537",0,"Mat3d66-586052-20-16_24424_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-586052-20-16_24424_lilToon.mat","Universal Render Pipeline/Lit","","0.541 0.561 0.573 1.000","0.541 0.561 0.573 1.000",False,False
"Blender Indoor Scene/Group-586052-229/Obj3d66-586052-54-537",1,"Mat3d66-586052-19-368_24426_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-586052-19-368_24426_lilToon.mat","Universal Render Pipeline/Lit","","1.000 1.000 1.000 1.000","1.000 1.000 1.000 1.000",True,False
"Blender Indoor Scene/Group-586052-229/Obj3d66-586052-54-537",2,"材质.024_23932_lilToon","Assets/SceneExport/MaterialsLilToon/材质.024_23932_lilToon.mat","Universal Render Pipeline/Lit","","0.140 0.232 0.380 1.000","0.140 0.232 0.380 1.000",False,False
"Blender Indoor Scene/Group-586052-731/Group-586052-192/Group-586052-423/Obj3d66-586052-7-856.002",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/Group-586052-731/Group-586052-192/Group-586052-423/Obj3d66-586052-7-856.002",1,"Mat3d66-586052-23-90_24466_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-586052-23-90_24466_lilToon.mat","Universal Render Pipeline/Lit","","0.980 0.980 0.980 1.000","0.980 0.980 0.980 1.000",True,False
"Blender Indoor Scene/Line006.002",0,"材质.032_TransparentGlass_21764_lilToon","Assets/SceneExport/MaterialsLilToon/材质.032_TransparentGlass_21764_lilToon.mat","Universal Render Pipeline/Lit","","0.327 0.513 0.800 0.353","0.327 0.513 0.800 0.353",False,False
"Blender Indoor Scene/Line010",0,"材质.016_23770_lilToon","Assets/SceneExport/MaterialsLilToon/材质.016_23770_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.135 0.142 1.000","0.800 0.135 0.142 1.000",False,False
"Blender Indoor Scene/Line010.001",0,"材质.017_24020_lilToon","Assets/SceneExport/MaterialsLilToon/材质.017_24020_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Line013.001",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Line016.001",0,"No Name_23824_lilToon","Assets/SceneExport/MaterialsLilToon/No Name_23824_lilToon.mat","Universal Render Pipeline/Lit","","1.000 1.000 1.000 1.000","1.000 1.000 1.000 1.000",True,False
