renderer,slot,material,path,shader,baseTexture,baseColor,color,isWhiteNoTexture,isTextureAssigned
"Blender Indoor Scene/9999999999999",0,"Material #84_24160_lilToon","Assets/SceneExport/MaterialsLilToon/Material #84_24160_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/077_贴图 _69_b2a0164d74.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Aircraft_055",0,"_Aircraft_055_24386_lilToon","Assets/SceneExport/MaterialsLilToon/_Aircraft_055_24386_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/Arc004",0,"金属黑.001_24024_lilToon","Assets/SceneExport/MaterialsLilToon/金属黑.001_24024_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.045 0.070 1.000","0.050 0.045 0.070 1.000",False,False
"Blender Indoor Scene/Blender Bros Emissive Pack2.1_012",0,"_Blender Bros Emissive Pack2.1_012.001_23692_lilToon","Assets/SceneExport/MaterialsLilToon/_Blender Bros Emissive Pack2.1_012.001_23692_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/Box001",0,"材质.004_23796_lilToon","Assets/SceneExport/MaterialsLilToon/材质.004_23796_lilToon.mat","Universal Render Pipeline/Lit","","0.549 0.314 0.323 1.000","0.549 0.314 0.323 1.000",False,False
"Blender Indoor Scene/Box002",0,"材质.025_23720_lilToon","Assets/SceneExport/MaterialsLilToon/材质.025_23720_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/053_贴图 _14_90bfdaaa22.jpg","0.642 0.460 0.254 1.000","0.642 0.460 0.254 1.000",False,True
"Blender Indoor Scene/Box002.001",0,"材质.031_24174_lilToon","Assets/SceneExport/MaterialsLilToon/材质.031_24174_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.717 0.500 1.000","0.800 0.717 0.500 1.000",False,False
"Blender Indoor Scene/Box003",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Box011",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Box014",0,"Material #72_24250_lilToon","Assets/SceneExport/MaterialsLilToon/Material #72_24250_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/066_贴图 _50_4d5c19b69d.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box015",0,"Material #78_23742_lilToon","Assets/SceneExport/MaterialsLilToon/Material #78_23742_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/070_贴图 _56_68f8e71f31.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box016",0,"Material #73_24200_lilToon","Assets/SceneExport/MaterialsLilToon/Material #73_24200_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/067_贴图 _51_db9910b3cf.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box017",0,"材质.005_23728_lilToon","Assets/SceneExport/MaterialsLilToon/材质.005_23728_lilToon.mat","Universal Render Pipeline/Lit","","0.077 0.075 0.112 1.000","0.077 0.075 0.112 1.000",False,False
"Blender Indoor Scene/Box021.001",0,"材质.025_23720_lilToon","Assets/SceneExport/MaterialsLilToon/材质.025_23720_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/053_贴图 _14_90bfdaaa22.jpg","0.642 0.460 0.254 1.000","0.642 0.460 0.254 1.000",False,True
"Blender Indoor Scene/Box023",0,"Material #70_24050_lilToon","Assets/SceneExport/MaterialsLilToon/Material #70_24050_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/064_贴图 _48_abacd6fc86.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box024",0,"材质.024_23932_lilToon","Assets/SceneExport/MaterialsLilToon/材质.024_23932_lilToon.mat","Universal Render Pipeline/Lit","","0.140 0.232 0.380 1.000","0.140 0.232 0.380 1.000",False,False
"Blender Indoor Scene/Box034",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/Box034.001",0,"材质.003_24298_lilToon","Assets/SceneExport/MaterialsLilToon/材质.003_24298_lilToon.mat","Universal Render Pipeline/Lit","","0.492 0.800 0.267 1.000","0.492 0.800 0.267 1.000",False,False
"Blender Indoor Scene/Box034.002",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Box034.003",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Box036",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Box039",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Box040",0,"材质.018_24116_lilToon","Assets/SceneExport/MaterialsLilToon/材质.018_24116_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.057 0.029 1.000","0.800 0.057 0.029 1.000",False,False
"Blender Indoor Scene/Box042",0,"金属白_23690_lilToon","Assets/SceneExport/MaterialsLilToon/金属白_23690_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/094_集成板3_2_ac7dda95dc.png","0.015 0.015 0.015 1.000","0.015 0.015 0.015 1.000",False,True
"Blender Indoor Scene/Box048",0,"Material #62_23918_lilToon","Assets/SceneExport/MaterialsLilToon/Material #62_23918_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/058_贴图 _39_d35001f6fd.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box049",0,"Material #60_24170_lilToon","Assets/SceneExport/MaterialsLilToon/Material #60_24170_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/057_贴图 _37_705846a2f9.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box051",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Box051_original001",0,"Material #111_23860_lilToon","Assets/SceneExport/MaterialsLilToon/Material #111_23860_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/092_贴图 _96_ffa79e945d.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box052",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/Box052.001",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/Box053",0,"材质.029_23800_lilToon","Assets/SceneExport/MaterialsLilToon/材质.029_23800_lilToon.mat","Universal Render Pipeline/Lit","","0.157 0.325 0.800 1.000","0.157 0.325 0.800 1.000",False,False
"Blender Indoor Scene/Box055",0,"Material #64_24054_lilToon","Assets/SceneExport/MaterialsLilToon/Material #64_24054_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/060_贴图 _41_aca5b960e6.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box056",0,"材质.024_23932_lilToon","Assets/SceneExport/MaterialsLilToon/材质.024_23932_lilToon.mat","Universal Render Pipeline/Lit","","0.140 0.232 0.380 1.000","0.140 0.232 0.380 1.000",False,False
"Blender Indoor Scene/Box057",0,"Material #91_24236_lilToon","Assets/SceneExport/MaterialsLilToon/Material #91_24236_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/088_贴图 _76_7c74a1e400.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box065",0,"材质.025_23720_lilToon","Assets/SceneExport/MaterialsLilToon/材质.025_23720_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/053_贴图 _14_90bfdaaa22.jpg","0.642 0.460 0.254 1.000","0.642 0.460 0.254 1.000",False,True
"Blender Indoor Scene/Box068",0,"材质.029_23800_lilToon","Assets/SceneExport/MaterialsLilToon/材质.029_23800_lilToon.mat","Universal Render Pipeline/Lit","","0.157 0.325 0.800 1.000","0.157 0.325 0.800 1.000",False,False
"Blender Indoor Scene/Box084",0,"材质.024_23932_lilToon","Assets/SceneExport/MaterialsLilToon/材质.024_23932_lilToon.mat","Universal Render Pipeline/Lit","","0.140 0.232 0.380 1.000","0.140 0.232 0.380 1.000",False,False
"Blender Indoor Scene/Box086",0,"Material #65_24194_lilToon","Assets/SceneExport/MaterialsLilToon/Material #65_24194_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/041_QQ图片20210220165817_4e73e43538.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box101",0,"Material #115_23812_lilToon","Assets/SceneExport/MaterialsLilToon/Material #115_23812_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/046_贴图 _100_a26bebd4eb.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box106",0,"Material #79_24022_lilToon","Assets/SceneExport/MaterialsLilToon/Material #79_24022_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/071_贴图 _57_e3d3b811e2.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box110",0,"Material #28_23836_lilToon","Assets/SceneExport/MaterialsLilToon/Material #28_23836_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/059_贴图 _4_3ebe13a449.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box118",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/Box124",0,"材质.017_24020_lilToon","Assets/SceneExport/MaterialsLilToon/材质.017_24020_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Box125",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Box126",0,"材质.003_24298_lilToon","Assets/SceneExport/MaterialsLilToon/材质.003_24298_lilToon.mat","Universal Render Pipeline/Lit","","0.492 0.800 0.267 1.000","0.492 0.800 0.267 1.000",False,False
"Blender Indoor Scene/Box127",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Box139",0,"Material #29_23952_lilToon","Assets/SceneExport/MaterialsLilToon/Material #29_23952_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/065_贴图 _5_e43c065db5.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box140",0,"Material #43_24044_lilToon","Assets/SceneExport/MaterialsLilToon/Material #43_24044_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/055_贴图 _20_e8330ef2b9.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box141",0,"Material #34_23886_lilToon","Assets/SceneExport/MaterialsLilToon/Material #34_23886_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/045_贴图 _10_f7e8382c8f.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box142",0,"Material #28_23836_lilToon","Assets/SceneExport/MaterialsLilToon/Material #28_23836_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/059_贴图 _4_3ebe13a449.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box145",0,"Material #29_23952_lilToon","Assets/SceneExport/MaterialsLilToon/Material #29_23952_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/065_贴图 _5_e43c065db5.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box146",0,"Material #83_24122_lilToon","Assets/SceneExport/MaterialsLilToon/Material #83_24122_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/076_贴图 _68_6e3d6af854.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box147",0,"Material #93_23730_lilToon","Assets/SceneExport/MaterialsLilToon/Material #93_23730_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/089_贴图 _78_9c31fa4777.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box148",0,"Material #93_23730_lilToon","Assets/SceneExport/MaterialsLilToon/Material #93_23730_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/089_贴图 _78_9c31fa4777.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box150",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Box151",0,"材质.004_23796_lilToon","Assets/SceneExport/MaterialsLilToon/材质.004_23796_lilToon.mat","Universal Render Pipeline/Lit","","0.549 0.314 0.323 1.000","0.549 0.314 0.323 1.000",False,False
"Blender Indoor Scene/Box152",0,"Material #116_23740_lilToon","Assets/SceneExport/MaterialsLilToon/Material #116_23740_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/047_贴图 _101_0aa1c9f79b.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box153",0,"Material #117_23928_lilToon","Assets/SceneExport/MaterialsLilToon/Material #117_23928_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/048_贴图 _102_774281c164.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
